id_artigo,titulo,tipo,preco,ano,classificacao,plataforma,idade_min,publisher,n_jogadores_max,genero
120,"Catherine Classic",Jogo,42.20,2019,5,Win,18,Sega,1,Puzzle-platform
121,"Hitman HD Enhanced Collection",Jogo,18.80,2019,6,PS4,18,"Warner Bros. Interactive Entertainment",2,Stealth
122,"Hitman HD Enhanced Collection",Jogo,18.80,2019,3,XBO,18,"Warner Bros. Interactive Entertainment",2,Stealth
123,"Mario & Luigi: Bowser’s Inside Story + Bowser Jr.’s Journey",Jogo,28.80,2019,3,3DS,16,Nintendo,4,Role-playing
124,"New Super Mario Bros. U Deluxe",Jogo,38.50,2019,6,NS,15,Nintendo,1,Platformer
125,"Tales of Vesperia: Definitive Edition",Jogo,35.50,2019,6,Win,17,"Bandai Namco Entertainment",1,Role-playing
126,"Tales of Vesperia: Definitive Edition",Jogo,35.50,2019,5,NS,17,"Bandai Namco Entertainment",1,Role-playing
127,"Tales of Vesperia: Definitive Edition",Jogo,35.50,2019,6,PS4,17,"Bandai Namco Entertainment",1,Role-playing
128,"Tales of Vesperia: Definitive Edition",Jogo,35.50,2019,5,Win,17,"Bandai Namco Entertainment",1,Role-playing
129,"Bright Memory",Jogo,40.50,2019,4,Win,17,"FYQD Personal Studio",3,"First-person shooter"
130,"Asdivine Hearts 2",Jogo,39.20,2019,6,PS4,14,Kemco,3,Role-playing
131,"Asdivine Hearts 2",Jogo,39.20,2019,4,PSVita,14,Kemco,3,Role-playing
132,"Onimusha: Warlords",Jogo,34.00,2019,5,Win,13,Capcom,1,"Action-adventure, hack and slash"
133,"Onimusha: Warlords",Jogo,34.00,2019,5,NS,13,Capcom,1,"Action-adventure, hack and slash"
134,"Onimusha: Warlords",Jogo,34.00,2019,5,PS4,13,Capcom,1,"Action-adventure, hack and slash"
135,"Onimusha: Warlords",Jogo,34.00,2019,4,Win,13,Capcom,1,"Action-adventure, hack and slash"
136,Vane,Jogo,29.40,2019,3,PS4,16,"Friend & Foe",3,Adventure
137,"The Walking Dead: The Final Season – Episode 3: Broken Toys",Jogo,40.10,2019,5,Win,15,"Skybound Entertainment",3,"Graphic adventure"
138,"The Walking Dead: The Final Season – Episode 3: Broken Toys",Jogo,40.10,2019,5,NS,15,"Skybound Entertainment",3,"Graphic adventure"
139,"The Walking Dead: The Final Season – Episode 3: Broken Toys",Jogo,40.10,2019,3,PS4,15,"Skybound Entertainment",3,"Graphic adventure"
